date,cam,count
2017-07-05,489,7457
2017-07-05,495,3342
2017-07-05,500,4950
2017-07-05,501,7190
2017-07-05,502,1301
2017-07-05,503,3531
2017-07-05,504,4642
2017-07-05,506,4344
2017-07-05,507,1074
2017-07-05,508,2899
2017-07-05,509,3387
2017-07-05,510,2629
2017-07-05,511,2054
2017-07-05,517,1594
2017-07-05,519,1972
2017-07-05,523,8406
2017-07-05,528,4856
2017-07-05,531,3379
2017-07-05,535,7899
2017-07-05,542,4247
2017-07-05,544,953
2017-07-05,545,1491
2017-07-05,547,334
2017-07-05,548,858
2017-07-05,550,1818
2017-07-05,551,800
2017-07-05,552,1945
2017-07-05,715,375
2017-07-05,716,2239
2017-07-05,717,3111
2017-07-05,722,1956
2017-07-05,725,839
2017-07-05,789,3350
2017-07-05,790,1064
2017-07-05,791,1085
2017-07-05,794,1864
2017-07-05,827,1638
2017-07-05,828,1446
2017-07-05,838,4294
2017-07-05,845,1957
2017-07-05,846,3077
2017-07-05,869,1991
2017-07-05,891,5290
2017-07-05,893,163
2017-07-05,899,13008
2017-07-05,928,1117
2017-07-05,985,4201
2017-07-05,988,921
2017-07-05,1028,2298
2017-07-06,163,6012
2017-07-06,165,1583
2017-07-06,166,460
2017-07-06,168,5224
2017-07-06,169,7272
2017-07-06,170,8461
2017-07-06,171,7324
2017-07-06,172,1494
2017-07-06,173,3757
2017-07-06,175,434
2017-07-06,176,1062
2017-07-06,179,5259
2017-07-06,180,6663
2017-07-06,181,11464
2017-07-06,182,513
2017-07-06,187,3863
2017-07-06,192,2404
2017-07-06,211,409
2017-07-06,253,468
2017-07-06,287,1194
2017-07-06,292,320
2017-07-06,326,1273
2017-07-06,330,2553
2017-07-06,338,2409
2017-07-06,339,2155
2017-07-06,347,7286
2017-07-06,351,4120
2017-07-06,361,3089
2017-07-06,398,5708
2017-07-06,399,882
2017-07-06,400,1740
2017-07-06,403,2853
2017-07-06,404,2582
2017-07-06,406,3798
2017-07-06,407,1799
2017-07-06,409,4476
2017-07-06,410,1372
